Date,Open,High,Low,Close,Adj Close,Volume
2015-03-20,1.500000,1.500000,1.500000,1.625000,1.625000,15000
2015-03-23,1.525000,1.700000,1.525000,1.625000,1.625000,266728
2015-03-24,1.625000,1.625000,1.474000,1.375000,1.375000,450000
2015-03-25,1.425000,1.425000,1.425000,1.375000,1.375000,68003
2015-03-26,1.425000,1.425000,1.425000,1.375000,1.375000,50000
2015-03-27,1.575000,1.575000,1.310000,1.375000,1.375000,190160
2015-03-30,1.365000,1.436000,1.365000,1.375000,1.375000,119481
2015-03-31,1.000000,1.000000,0.870000,0.975000,0.975000,5024346
2015-04-01,1.040000,1.040000,1.000000,0.975000,0.975000,4146444
2015-04-02,1.000000,1.100000,0.963000,1.100000,1.100000,2059072
2015-04-07,1.073000,1.073000,0.960000,1.100000,1.100000,61884
2015-04-08,0.961000,1.072000,0.950000,1.100000,1.100000,3295385
2015-04-09,1.055000,1.173000,0.965000,1.100000,1.100000,372552
2015-04-10,1.100000,1.100000,1.100000,1.100000,1.100000,0
2015-04-13,1.175000,1.250000,1.175000,1.125000,1.125000,175005
2015-04-14,1.000000,1.170000,1.000000,1.125000,1.125000,110000
2015-04-15,1.220000,1.250000,1.060000,1.125000,1.125000,2419548
2015-04-16,1.100000,1.186000,1.100000,1.125000,1.125000,3117151
2015-04-17,1.165000,1.165000,1.080000,1.125000,1.125000,332293
2015-04-20,1.050000,1.050000,1.050000,1.125000,1.125000,420000
2015-04-21,1.000000,1.130000,1.000000,1.125000,1.125000,331250
2015-04-22,1.000000,1.100000,0.950000,1.050000,1.050000,2581064
2015-04-23,1.050000,1.100000,1.010000,1.050000,1.050000,2907093
2015-04-24,1.050000,1.100000,1.010000,1.050000,1.050000,2454159
2015-04-27,1.013000,1.088000,1.013000,1.050000,1.050000,33882
2015-04-28,1.013000,1.088000,1.013000,1.050000,1.050000,92314
2015-04-29,1.013000,1.088000,1.013000,1.050000,1.050000,19898
2015-04-30,1.088000,1.088000,1.088000,1.050000,1.050000,91920
2015-05-01,1.000000,1.000000,1.000000,1.050000,1.050000,1897
2015-05-05,1.013000,1.013000,1.013000,1.050000,1.050000,2728
2015-05-06,1.020000,1.020000,1.020000,1.050000,1.050000,34520
2015-05-07,1.020000,1.020000,1.020000,1.050000,1.050000,97700
2015-05-08,1.013000,1.100000,1.013000,1.050000,1.050000,689770
2015-05-11,1.100000,1.100000,1.100000,1.050000,1.050000,9090
2015-05-12,1.140000,1.200000,1.035000,1.175000,1.175000,3815229
2015-05-13,1.147000,1.147000,1.075000,1.050000,1.050000,692243
2015-05-14,1.125000,1.125000,1.125000,1.050000,1.050000,150000
2015-05-15,1.135000,1.135000,1.060000,1.075000,1.075000,39357
2015-05-18,1.063000,1.070000,1.063000,1.050000,1.050000,110000
2015-05-19,1.100000,1.100000,1.100000,1.075000,1.075000,32321
2015-05-20,1.140000,1.140000,1.060000,1.075000,1.075000,357273
2015-05-21,1.125000,1.125000,1.060000,1.100000,1.100000,1848605
2015-05-22,1.140000,1.148000,1.068000,1.075000,1.075000,1549053
2015-05-26,1.100000,1.100000,1.070000,1.100000,1.100000,806252
2015-05-27,1.050000,1.100000,1.050000,1.075000,1.075000,379929
2015-05-28,1.100000,1.125000,1.070000,1.075000,1.075000,650000
2015-05-29,1.070000,1.070000,1.070000,1.075000,1.075000,330808
2015-06-01,1.100000,1.100000,1.100000,1.075000,1.075000,750550
2015-06-02,1.220000,1.220000,1.071000,1.150000,1.150000,106857
